prompt_id,image_name,model_name,gt_object,gt_distance_m,gt_direction,gt_scene,parse_success,found_predicted,found_score,predicted_distance_meters,predicted_direction_o_clock,score_object_location_desc,score_object_location_detailed,score_distance,score_direction,score_navigation,score_hand_guidance,score_fallback,total_score,max_score,percentage,parse_error
1,0001_001402_2014-06-19_16-12-57_260595134347_rgbf000056-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,Chair,2.32,2 o'clock,office,True,True,5,0.5,9,4,4,1,1,4,5,4,28,40,70.0%,
2,0002_000149_2014-05-20_17-21-34_260595134347_rgbf000130-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,2.16,2 o'clock,recreation_room,True,True,5,0.5,9,4,4,1,1,4,5,4,28,40,70.0%,
3,0003_0000414-000014076720.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,CHAIR,0.82,2 o'clock,classroom,True,True,5,0.5,4,5,4,1,2,4,5,4,30,40,75.0%,
4,0004_000536_2014-06-08_17-27-10_260595134347_rgbf000195-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,2.14,3 o'clock,discussion_area,True,True,5,1.5,9,3,4,3,1,4,5,4,29,40,72.5%,
5,0005_2014_10_28-15_30_11-1311000073.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,3.79,4 o'clock,library,True,True,5,0.5,9,4,4,0,1,3,5,4,26,40,65.0%,
6,0006_img_0665.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,Chair,1.32,3 o'clock,dining_room,True,True,5,,4,4,4,0,2,4,5,4,28,40,70.0%,
7,0007_002369_2014-06-28_20-12-01_260595134347_rgbf000074-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,2.04,2 o'clock,furniture_store,True,True,5,0.5,3,3,4,1,2,4,4,3,26,40,65.0%,
8,0008_0001598-000053548626.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,Cabinet,4.92,4 o'clock,classroom,True,True,5,0.5,10,2,2,0,1,3,4,3,20,40,50.0%,
9,0009_img_0209.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,Mug,1.2,3 o'clock,office,True,True,5,0.5,The direction from your current facing direction is approximately 3 o'clock.,4,3,0,5,4,5,4,30,40,75.0%,
10,0010_001132_2014-06-17_14-48-54_260595134347_rgbf000100-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,1.77,3 o'clock,dining_room,True,True,5,0.5,9,4,4,0,1,4,5,4,27,40,67.5%,
11,0011_000619_2014-06-08_18-18-30_260595134347_rgbf000087-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,notebook,0.63,2 o'clock,office,True,False,0,,,0,0,0,0,0,0,0,0,40,0.0%,
12,0012_0001058-000043637832.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,door,3.4,3 o'clock,corridor,True,True,5,,6,3,2,0,1,3,4,4,22,40,55.0%,
13,0013_000107_2014-04-14_00-03-38_094959634447_rgbf000052-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,Floorlamp,2.34,4 o'clock,living_room,True,False,0,,,0,0,0,0,0,0,0,0,40,0.0%,
14,0014_0005514-000184823068.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chairs,1.37,4 o'clock,classroom,True,True,5,,,5,4,0,0,4,5,4,27,40,67.5%,
15,0015_003542_2014-05-22_15-37-06_094959634447_rgbf000100-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,1.31,3 o'clock,classroom,True,True,5,,10,4,4,0,2,4,5,4,28,40,70.0%,
16,0016_003359_2014-05-20_14-08-56_094959634447_rgbf000050-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,CHAIR,1.62,3 o'clock,dining_area,True,True,5,,9,4,3,0,1,4,5,4,26,40,65.0%,
17,0017_0007468-000327386648.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,MUG,0.86,3 o'clock,bathroom,True,True,5,0.5,9,2,2,1,1,3,4,3,21,40,52.5%,
18,0018_000122_2014-04-13_23-36-57_094959634447_rgbf000223-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,1.59,3 o'clock,bedroom,True,True,5,,3,4,3,0,5,4,5,4,30,40,75.0%,
19,0019_001011_2014-06-08_23-18-54_260595134347_rgbf000044-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,book,2.37,3 o'clock,office,True,True,5,0.5,3,4,3,1,5,4,4,5,31,40,77.5%,
20,0020_000978_2014-06-08_16-49-11_260595134347_rgbf000059-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,filecabinet,3.74,3 o'clock,corridor,True,True,5,,9,2,4,0,1,4,5,3,24,40,60.0%,
21,0021_0001521-000050944320.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair3,1.39,3 o'clock,discussion_area,True,True,5,0.5,3,4,3,0,5,4,5,4,30,40,75.0%,
22,0022_002607_2014-06-24_14-29-46_094959634447_rgbf000059-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,door,4.84,4 o'clock,lecture_theatre,True,True,5,2.0,9,2,3,2,1,3,4,4,24,40,60.0%,
23,0023_000057_2014-05-14_23-13-06_260595134347_rgbf000413-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,BOOK,1.96,3 o'clock,bedroom,True,False,0,,,0,0,0,0,0,0,0,0,40,0.0%,
24,0024_001858_2014-06-22_13-40-10_260595134347_rgbf000120-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,Lamp,3.69,2 o'clock,furniture_store,True,True,5,0.5,9,3,4,0,1,4,5,4,26,40,65.0%,
25,0025_000497_2014-06-08_22-50-55_260595134347_rgbf000033-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,Chair,2.1,2 o'clock,discussion_area,True,True,5,0.8,9,4,3,1,1,4,5,5,28,40,70.0%,
26,0026_000987_2014-06-08_16-59-05_260595134347_rgbf000081-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,1.81,3 o'clock,corridor,True,True,5,0.5,7,2,0,0,1,4,5,4,21,40,52.5%,
27,0027_0000944-000031605588.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,lamp,0.86,2 o'clock,bedroom,True,False,0,,,0,0,0,0,0,0,0,0,40,0.0%,
28,0028_001131_2014-06-17_14-48-26_260595134347_rgbf000101-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,2.04,3 o'clock,dining_room,True,False,0,,,0,0,0,0,0,0,0,0,40,0.0%,
29,0029_000391_2014-06-08_23-06-55_260595134347_rgbf000125-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,cushionchair,0.95,2 o'clock,conference_room,True,False,0,,,0,0,0,0,0,0,0,0,40,0.0%,
30,0030_2014-12-18_14-13-03_260595134347.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,door,6.78,4 o'clock,corridor,True,True,5,0.5,9,1,1,0,1,2,3,4,17,40,42.5%,
31,0031_002276_2014-06-28_18-54-45_260595134347_rgbf000040-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,DoorPushBar,1.72,4 o'clock,furniture_store,True,True,5,,9,2,0,0,1,4,5,5,22,40,55.0%,
32,0032_2014_10_27-15_35_49-1311000073.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,1.82,3 o'clock,rest_space,True,True,5,0.5,10,4,4,0,1,4,5,4,27,40,67.5%,
