prompt_id,image_name,model_name,gt_object,gt_distance_m,gt_direction,gt_scene,parse_success,found_predicted,found_score,predicted_distance_inches,predicted_direction,score_object_location_desc,score_object_location_detailed,score_distance,score_direction,score_navigation,score_hand_guidance,score_fallback,total_score,max_score,percentage,parse_error
1,0001_002599_2014-06-24_14-26-41_094959634447_rgbf000065-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,Chair,3.55,right (camera-right),rest_space,True,True,5,8,right,4,4,0,5,5,5,5,33,40,82.5%,
2,0002_002616_2014-06-24_14-35-17_094959634447_rgbf000073-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,4.67,above and center (camera-right),classroom,True,True,5,36.0,left,2,3,0,1,4,4,5,24,40,60.0%,
3,0003_000514_2014-06-09_16-13-52_260595134347_rgbf000203-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,CHAIR,3.45,right (camera-right),rest_space,True,True,5,80.0,slightly right,4,3,0,4,4,5,4,29,40,72.5%,
4,0004_002300_2014-06-28_19-01-49_260595134347_rgbf000046-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,dinningroomchair,1.38,right,furniture_store,True,True,5,6,in front,3,4,0,1,4,5,3,25,40,62.5%,
5,0005_001058_2014-06-08_21-52-41_260595134347_rgbf000077-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,1.68,below and right (camera-right),office,True,True,5,0.5,left,2,3,0,1,3,4,4,22,40,55.0%,
6,0006_002287_2014-06-28_18-57-47_260595134347_rgbf000022-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,CHAIR,2.16,below and right (camera-right),furniture_store,True,True,5,100,to the left,3,4,5,2,4,5,4,32,40,80.0%,
7,0007_001301_2014-06-16_16-31-27_260595134347_rgbf000063-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,cupboard,1.34,right (camera-right),corridor,True,False,0,,left,0,0,0,0,0,0,0,0,40,0.0%,
8,0008_001169_2014-06-17_15-43-04_260595134347_rgbf000112-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,chair,3.83,above and center,rest_space,True,True,5,60.0,left,3,4,0,2,4,5,4,27,40,67.5%,
9,0009_001222_2014-06-17_16-24-06_260595134347_rgbf000073-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,Chair,4.15,left (camera-left),study_space,True,True,5,10,slightly right,2,3,0,1,4,4,3,22,40,55.0%,
10,0010_003589_2014-05-23_16-56-35_094959634447_rgbf000100-resize.jpg,./finetuned_models/LoRA-OpenSpaces_MC_R1-Qwen2.5-VL-7B-Instruct/epoch-1,Chair,1.85,left (camera-left),classroom,True,True,5,6,left,5,4,0,5,4,5,4,32,40,80.0%,
